timestamp,ndcg_at_k,spearman_r,reordered_pct,k
2025-10-19T23:47:02.477785,1.0,0.997,20.0,20
2025-10-20T00:02:34.882544,0.9997,0.991,45.0,20
2025-10-20T00:24:27.646148,1.0,0.997,20.0,20
